"csv_nid","csv_fid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"39669","13853","haiti5_1200_2.jpg","public://news/2018/haiti5_1200_2.jpg","image/jpeg","","","1539368592","2018","10"
"39669","13854","haiti2_1200_2.jpg","public://news/2018/haiti2_1200_2.jpg","image/jpeg","","","1539368592","2018","10"
"39674","13859","lieuwen_2_1.jpg","public://news/2018/lieuwen_2_1.jpg","image/jpeg","","","1539368592","2018","10"
"39674","13860","jan_shi_for_web_1.jpg","public://news/2018/jan_shi_for_web_1.jpg","image/jpeg","","","1539368592","2018","10"
"39674","13861","may72502reduced_1.jpg","public://news/2018/may72502reduced_1.jpg","image/jpeg","","","1539368592","2018","10"
"39674","13862","nae-2018-feat_rev2_0_1.png","public://news/2018/nae-2018-feat_rev2_0_1.png","image/png","","","1539368592","2018","10"
"11729","2872","kirby_cuenca_headshot_3.jpg","public://news/2018/kirby_cuenca_headshot_3.jpg","image/jpeg","","","1536596193","2018","09"
"11729","2873","fahie_shameka_web_0.jpg","public://news/2018/fahie_shameka_web_0.jpg","image/jpeg","","","1536596193","2018","09"
"11729","2874","kelley_christy-picture-146x200px.jpg","public://news/2018/kelley_christy-picture-146x200px.jpg","image/jpeg","","","1536596193","2018","09"
"39682","13880","riya3_1.jpg","public://news/2018/riya3_1.jpg","image/jpeg","","","1539368592","2018","10"
"39682","13881","riya5_1200_1.jpg","public://news/2018/riya5_1200_1.jpg","image/jpeg","","","1539368592","2018","10"
"39678","13867","chris_edit_2.jpg","public://news/2018/chris_edit_2.jpg","image/jpeg","","","1539368592","2018","10"
"39678","13868","steve_edit_2.jpg","public://news/2018/steve_edit_2.jpg","image/jpeg","","","1539368592","2018","10"
"39678","13869","siva_edit_2.jpg","public://news/2018/siva_edit_2.jpg","image/jpeg","","","1539368592","2018","10"
"39678","13870","tech_square_2.jpg","public://news/2018/tech_square_2.jpg","image/jpeg","","","1539368592","2018","10"
"39678","13871","create-x_footer-jan2018_v2_2.png","public://news/2018/create-x_footer-jan2018_v2_2.png","image/png","","","1539368592","2018","10"
