"csv_fid","csv_pid","csv_alt","csv_mime","csv_filename","csv_filepath","csv_status","csv_title","csv_date","csv_caption","csv_date_y","csv_date_m"
"17050","2632","","image/jpeg","2f3a0098.jpg","public://cta/2f3a0098.jpg","Permanent","","1578064188","","2020","01"
"17072","2650","","image/jpeg","img_0263.jpg","public://cta/img_0263.jpg","Permanent","","1579192400","","2020","01"
"17176","2777","","image/png","sure-gtri_tour_photo.png","public://cta/sure-gtri_tour_photo_0.png","Permanent","","1583427699","","2020","03"
"17177","2779","","image/jpeg","wie4_0.jpg","public://cta/wie4_0.jpg","Permanent","","1583427783","","2020","03"
"17178","2781","","image/png","sure-gtri_tour_photo.png","public://cta/sure-gtri_tour_photo_1.png","Permanent","","1583427931","","2020","03"
"17190","2818","","image/png","inventurek12_crose_feat.png","public://cta/inventurek12_crose_feat.png","Permanent","","1583769515","","2020","03"
"17191","2819","","image/jpeg","create-x_program.jpg","public://cta/create-x_program.jpg","Permanent","","1583769515","","2020","03"
"17193","2820","","image/jpeg","16802626167_cdbb3eacef_k.jpg","public://cta/16802626167_cdbb3eacef_k.jpg","Permanent","","1583769515","","2020","03"
"17194","2822","","image/png","sx_storytelling-15_web.png","public://cta/sx_storytelling-15_web.png","Permanent","","1583769674","","2020","03"
"17218","2898","","image/png","alahnasmith_clark_edit.png","public://cta/alahnasmith_clark_edit.png","Permanent","","1584646457","","2020","03"
"17219","2899","","image/png","inventurek12_crose_feat.png","public://cta/inventurek12_crose_feat_0.png","Permanent","","1584646457","","2020","03"
"17220","2900","","image/png","clark-sicard-feat_final-logo.png","public://cta/clark-sicard-feat_final-logo.png","Permanent","","1584646457","","2020","03"
"17222","2901","","image/jpeg","d2a3a988-2094-49dd-b24b-881e30ba0ea1.jpg","public://cta/d2a3a988-2094-49dd-b24b-881e30ba0ea1.jpg","Permanent","","1584648473","","2020","03"
"17326","3042","","image/jpeg","in_memoriam_john_young_banner_0.jpg","public://cta/in_memoriam_john_young_banner_0.jpg","Permanent","","1587039558","","2020","04"
"17327","3043","","image/jpeg","podcast-ep7_istock-597931174_blur.jpg","public://cta/podcast-ep7_istock-597931174_blur.jpg","Permanent","","1587039558","","2020","04"
"17328","3044","","image/jpeg","17c10303-p4-004.jpg","public://cta/17c10303-p4-004.jpg","Permanent","","1587039558","","2020","04"
"17330","3046","","image/jpeg","liftoff_1200.jpg","public://cta/liftoff_1200.jpg","Permanent","","1587048008","","2020","04"
"17366","3090","","image/jpeg","grad-backgrounds-15.jpg","public://cta/grad-backgrounds-15.jpg","Permanent","","1588024014","","2020","04"
"17367","3092","","image/jpeg","wreck_desktop_2560x1440.jpg","public://cta/wreck_desktop_2560x1440.jpg","Permanent","","1588092027","","2020","04"
"17387","3130","","image/jpeg","grad-backgrounds-15.jpg","public://cta/grad-backgrounds-15_1.jpg","Permanent","","1588274186","","2020","04"
"17386","3131","","image/jpeg","photo-frame-swag-thumbnail.jpg","public://cta/photo-frame-swag-thumbnail.jpg","Permanent","","1588274186","","2020","04"
"17389","3139","","image/png","animalcrossing-rev.png","public://cta/animalcrossing-rev.png","Permanent","","1588337254","","2020","05"
"17390","3140","","image/jpeg","20c10302-p46-054.jpg","public://cta/20c10302-p46-054.jpg","Permanent","","1588337254","","2020","05"
"17733","3632","","image/jpeg","17c10303-p4-001.jpg","public://cta/17c10303-p4-001.jpg","Permanent","","1600087578","","2020","09"
