"csv_fid","csv_nid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"17461","42772","materials-story-1.png","public://news/featured/header/materials-story-1.png","image/png","","","1589228463","2020","05"
"17459","42771","hypersonics-story.png","public://news/featured/header/hypersonics-story.png","image/png","","","1589228328","2020","05"
"17422","42768","dahlman_with_dish.jpg","public://news/featured/header/dahlman_with_dish.jpg","image/jpeg","","","1588964436","2020","05"
"17462","42767","covid-story.png","public://news/featured/header/covid-story.png","image/png","","","1589228514","2020","05"
"17411","42766","18c5404_p1_008.jpg","public://news/featured/header/18c5404_p1_008.jpg","image/jpeg","","","1588962512","2020","05"
"17395","42762","nsbe.jpg","public://news/featured/header/nsbe.jpg","image/jpeg","","","1588357314","2020","05"
"17346","42753","ezgif-4-69c36b2412b7.jpg","public://news/featured/header/ezgif-4-69c36b2412b7.jpg","image/jpeg","","","1587475061","2020","04"
"17352","42755","kwong-feat-2.png","public://news/featured/header/kwong-feat-2.png","image/png","","","1588002091","2020","04"
"17314","42749","original-3.jpg","public://news/featured/header/original-3_0.jpg","image/jpeg","","","1586965503","2020","04"
"17309","42748","download.jpg","public://news/featured/header/download.jpg","image/jpeg","","","1586879269","2020","04"
"17305","42744","bethune-feat-1_002.png","public://news/featured/header/bethune-feat-1_002.png","image/png","","","1586785008","2020","04"
"17285","42719","marinerobotics_1.png","public://news/featured/header/marinerobotics_1.png","image/png","","","1585760215","2020","04"
"17290","42741","hanley_feat1.png","public://news/featured/header/hanley_feat1.png","image/png","","","1585851581","2020","04"
"17245","42737","virtual-pi-mile-1_final.png","public://news/featured/header/virtual-pi-mile-1_final.png","image/png","","","1585336379","2020","03"
"17229","42732","katie-zhu_feat-1.png","public://news/featured/header/katie-zhu_feat-1.png","image/png","","","1585156686","2020","03"
"17216","42728","marthaquo-feat-3_final.png","public://news/featured/header/marthaquo-feat-3_final.png","image/png","","","1584639574","2020","03"
"17203","42723","gradrankings_spr2020.png","public://news/featured/header/gradrankings_spr2020.png","image/png","","","1584379392","2020","03"
"17189","42716","40500073323_db6e87c2c6_k.jpg","public://news/featured/header/40500073323_db6e87c2c6_k.jpg","image/jpeg","","","1583769071","2020","03"
"17164","42715","quinelle1_.jpg","public://news/featured/header/quinelle1_.jpg","image/jpeg","","","1583419770","2020","03"
"17151","42709","crescendo-final_web.png","public://news/featured/header/crescendo-final_web.png","image/png","","","1582555575","2020","02"
